season_name|round_name|group_name|match_id|date|team_a|team_b|team_a_score|team_b_score|match_details_url
2012 Poland/Ukraine|Group stage|Group C|1063205|2012-06-14T18:45:00+00:00|Spain|Ireland Republic|4|0|/matches/2012/06/14/europe/european-championships/spain/ireland-republic/1063205/
2012 Poland/Ukraine|Group stage|Group C|1063213|2012-06-18T18:45:00+00:00|Italy|Ireland Republic|2|0|/matches/2012/06/18/europe/european-championships/italy/ireland-republic/1063213/
2012 Poland/Ukraine|Group stage|Group C|1063212|2012-06-18T18:45:00+00:00|Croatia|Spain|0|1|/matches/2012/06/18/europe/european-championships/croatia/spain/1063212/
2012 Poland/Ukraine|Group stage|Group D|1063198|2012-06-11T16:00:00+00:00|France|England|1|1|/matches/2012/06/11/europe/european-championships/france/england/1063198/
2012 Poland/Ukraine|Group stage|Group D|1063199|2012-06-11T18:45:00+00:00|Ukraine|Sweden|2|1|/matches/2012/06/11/europe/european-championships/ukraine/sweden/1063199/
2012 Poland/Ukraine|Group stage|Group D|1063207|2012-06-15T16:00:00+00:00|Ukraine|France|0|2|/matches/2012/06/15/europe/european-championships/ukraine/france/1063207/
2012 Poland/Ukraine|Group stage|Group D|1063206|2012-06-15T19:00:00+00:00|Sweden|England|2|3|/matches/2012/06/15/europe/european-championships/sweden/england/1063206/
2012 Poland/Ukraine|Group stage|Group D|1063215|2012-06-19T18:45:00+00:00|England|Ukraine|1|0|/matches/2012/06/19/europe/european-championships/england/ukraine/1063215/
2012 Poland/Ukraine|Group stage|Group D|1063214|2012-06-19T18:45:00+00:00|Sweden|France|2|0|/matches/2012/06/19/europe/european-championships/sweden/france/1063214/
2008 Austria/Switzerland|Final||644805|2008-06-29T18:45:00+00:00|Germany|Spain|0|1|/matches/2008/06/29/europe/european-championships/germany/spain/644805/
2008 Austria/Switzerland|Final||641307|2008-06-25T18:45:00+00:00|Germany|Turkey|3|2|/matches/2008/06/25/europe/european-championships/germany/turkey/641307/
2008 Austria/Switzerland|Final||641423|2008-06-26T18:45:00+00:00|Russia|Spain|0|3|/matches/2008/06/26/europe/european-championships/russia/spain/641423/
2008 Austria/Switzerland|Final||639090|2008-06-19T18:45:00+00:00|Portugal|Germany|2|3|/matches/2008/06/19/europe/european-championships/portugal/germany/639090/
2008 Austria/Switzerland|Final||639091|2008-06-20T18:45:00+00:00|Croatia|Turkey|P
1|1
P|/matches/2008/06/20/europe/european-championships/croatia/turkey/639091/
2008 Austria/Switzerland|Final||639534|2008-06-21T18:45:00+00:00|Netherlands|Russia|E
1|3
E|/matches/2008/06/21/europe/european-championships/netherlands/russia/639534/
2008 Austria/Switzerland|Final||639337|2008-06-22T18:45:00+00:00|Spain|Italy|P
0|0
P|/matches/2008/06/22/europe/european-championships/spain/italy/639337/
