624|national/australia/capital-territory
1080|national/australia/national-youth-league
606|national/australia/new-south-wales
626|national/australia/northern
625|national/australia/northern-nsw
42|national/australia/nsl
623|national/australia/pre-season-cup
608|national/australia/queensland
607|national/australia/south-australian
611|national/australia/tasmania
318|national/australia/victoria
370|national/australia/w-league
609|national/australia/western-australia
50|national/austria/1-liga
555|national/austria/2-frauenliga
49|national/austria/bundesliga
187|national/austria/cup
716|national/austria/cup-women
339|national/austria/frauenliga
1089|national/austria/jugendliga-u18
628|national/austria/landesliga
965|national/austria/play-offs-23
553|national/austria/regionalliga
581|national/azerbaijan/birinci-dasta
243|national/azerbaijan/cup
106|national/azerbaijan/premyer-liqa
587|national/bahamas/bfa-senior-league
702|national/bahrain/cup
958|national/bahrain/king's-cup
238|national/bahrain/premier-league
537|national/bangladesh/premier-league
524|national/barbados/premier-league
263|national/belarus/1-division
804|national/belarus/2-division
200|national/belarus/cup
808|national/belarus/cup-women
966|national/belarus/play-offs-12
66|national/belarus/premier-league
488|national/belarus/premier-league-women
790|national/belarus/super-cup
811|national/belarus/super-cup-women
337|national/belgium/1e-nationale
451|national/belgium/2e-klasse
126|national/belgium/cup
698|national/belgium/cup-women
933|national/belgium/play-offs-12
1042|national/belgium/play-offs-12
1025|national/belgium/play-offs-23
1026|national/belgium/play-offs-34
1027|national/belgium/play-offs-45
24|national/belgium/pro-league
428|national/belgium/prom--rel
572|national/belgium/promotion
833|national/belgium/provincial
52|national/belgium/second-division
169|national/belgium/super-cup
1050|national/belgium/super-cup-women
133|national/belgium/third-division
691|national/belize/premier-league
870|national/benin/championnat-national
538|national/bermuda/premier-league
908|national/bhutan/a-division
69|national/bolivia/lfpb
1082|national/bolivia/nacional-b
144|national/bosnia-herzegovina/1st-league
379|national/bosnia-herzegovina/cup
64|national/bosnia-herzegovina/premier-liga
855|national/botswana/premier-league
409|national/brazil/acreano
398|national/brazil/alagoano
410|national/brazil/amapaense
405|national/brazil/amazonense
394|national/brazil/baiano-1
596|national/brazil/baiano-2
393|national/brazil/brasiliense
408|national/brazil/capixaba
240|national/brazil/carioca-1
595|national/brazil/carioca-2
390|national/brazil/catarinense-1
955|national/brazil/catarinense-2
395|national/brazil/cearense-1
778|national/brazil/cearense-2
231|national/brazil/copa-do-brasil
1063|national/brazil/copa-do-brasil-u20
388|national/brazil/gaucho-1
600|national/brazil/gaucho-2
389|national/brazil/goiano-1
922|national/brazil/goiano-2
817|national/brazil/liga-do-nordeste
403|national/brazil/maranhense
391|national/brazil/matogrossense
387|national/brazil/mineiro-1
594|national/brazil/mineiro-2
396|national/brazil/paraense
399|national/brazil/paraibano
386|national/brazil/paranaense-1
727|national/brazil/paranaense-2
801|national/brazil/paulista
239|national/brazil/paulista-a1
593|national/brazil/paulista-a2
699|national/brazil/paulista-a3
921|national/brazil/paulista-série-b
392|national/brazil/pernambucano-1
934|national/brazil/pernambucano-2
400|national/brazil/piauiense
397|national/brazil/potiguar
406|national/brazil/rondoniense
411|national/brazil/roraimense
