header|season_name|round_name|group_name|match_id|date|team_a|team_b|team_a_score|team_b_score|result_type|reg_result|final_result|match_details_url
Matches|2012 Poland/Ukraine|Group stage|Group C|1063196|2012-06-10T16:00:00+00:00|Spain|Italy|1|1|R|D||/matches/2012/06/10/europe/european-championships/spain/italy/1063196/
Matches|2012 Poland/Ukraine|Group stage|Group C|1063197|2012-06-10T18:45:00+00:00|Ireland Republic|Croatia|1|3|R|B||/matches/2012/06/10/europe/european-championships/ireland-republic/croatia/1063197/
Matches|2012 Poland/Ukraine|Group stage|Group C|1063204|2012-06-14T16:00:00+00:00|Italy|Croatia|1|1|R|D||/matches/2012/06/14/europe/european-championships/italy/croatia/1063204/
Matches|2012 Poland/Ukraine|Group stage|Group C|1063205|2012-06-14T18:45:00+00:00|Spain|Ireland Republic|4|0|R|A||/matches/2012/06/14/europe/european-championships/spain/ireland-republic/1063205/
Matches|2012 Poland/Ukraine|Group stage|Group C|1063212|2012-06-18T18:45:00+00:00|Croatia|Spain|0|1|R|B||/matches/2012/06/18/europe/european-championships/croatia/spain/1063212/
Matches|2012 Poland/Ukraine|Group stage|Group C|1063213|2012-06-18T18:45:00+00:00|Italy|Ireland Republic|2|0|R|A||/matches/2012/06/18/europe/european-championships/italy/ireland-republic/1063213/
Matches|2012 Poland/Ukraine|Group stage|Group D|1063198|2012-06-11T16:00:00+00:00|France|England|1|1|R|D||/matches/2012/06/11/europe/european-championships/france/england/1063198/
Matches|2012 Poland/Ukraine|Group stage|Group D|1063199|2012-06-11T18:45:00+00:00|Ukraine|Sweden|2|1|R|A||/matches/2012/06/11/europe/european-championships/ukraine/sweden/1063199/
Matches|2012 Poland/Ukraine|Group stage|Group D|1063207|2012-06-15T16:00:00+00:00|Ukraine|France|0|2|R|B||/matches/2012/06/15/europe/european-championships/ukraine/france/1063207/
Matches|2012 Poland/Ukraine|Group stage|Group D|1063206|2012-06-15T19:00:00+00:00|Sweden|England|2|3|R|B||/matches/2012/06/15/europe/european-championships/sweden/england/1063206/
Matches|2012 Poland/Ukraine|Group stage|Group D|1063215|2012-06-19T18:45:00+00:00|England|Ukraine|1|0|R|A||/matches/2012/06/19/europe/european-championships/england/ukraine/1063215/
Matches|2012 Poland/Ukraine|Group stage|Group D|1063214|2012-06-19T18:45:00+00:00|Sweden|France|2|0|R|A||/matches/2012/06/19/europe/european-championships/sweden/france/1063214/
Final|2008 Austria/Switzerland|Final||644805|2008-06-29T18:45:00+00:00|Germany|Spain|0|1|R|B||/matches/2008/06/29/europe/european-championships/germany/spain/644805/
Semi-finals|2008 Austria/Switzerland|Final||641307|2008-06-25T18:45:00+00:00|Germany|Turkey|3|2|R|A||/matches/2008/06/25/europe/european-championships/germany/turkey/641307/
Semi-finals|2008 Austria/Switzerland|Final||641423|2008-06-26T18:45:00+00:00|Russia|Spain|0|3|R|B||/matches/2008/06/26/europe/european-championships/russia/spain/641423/
Quarter-finals|2008 Austria/Switzerland|Final||639090|2008-06-19T18:45:00+00:00|Portugal|Germany|2|3|R|B||/matches/2008/06/19/europe/european-championships/portugal/germany/639090/
Quarter-finals|2008 Austria/Switzerland|Final||639091|2008-06-20T18:45:00+00:00|Croatia|Turkey|1|1|P|D|B|/matches/2008/06/20/europe/european-championships/croatia/turkey/639091/
