season_name|round_name|group_name|match_id|date|team_a|team_b|team_a_score|team_b_score|match_details_url
Gimnasia y Tiro|Rivadavia Lincoln|0|1
Rivadavia Lincoln|Gimnasia y Tiro|2|0
Juventud Antoniana|Juventud Unid…|1|1
Juventud Unid…|Juventud Antoniana|0|0
Cipolletti|Libertad|0|2
Libertad|Cipolletti|2|2
Gimnasia Conce…|Central Norte|0|0
Central Norte|Gimnasia Conce…|3|1
